Machine_ID,Date_Time,Temperature,Pressure,Vibration,Maintenance_Flag
1,5/31/2023,77,110,0,0
2,6/20/2023,81,106,0,0
3,10/3/2023,84,101,0,0
4,6/2/2023,91,95,0,1
5,8/13/2023,92,104,0,1
6,8/13/2023,92,104,0,1
7,10/13/2023,85,101,0,0
8,7/14/2023,76,110,0,1
9,11/4/2023,92,97,0,0
10,2/1/2024,81,111,0,1
11,3/14/2024,88,105,0,1
12,8/7/2023,94,98,0,1
13,2/13/2024,79,97,0,0
14,8/17/2023,85,102,0,0
15,9/8/2023,,96,0,1
16,3/25/2024,,95,0,0
17,4/1/2024,85,106,0,0
18,10/19/2023,82,106,0,0
19,6/7/2023,88,100,0,1
20,5/28/2023,86,102,0,1
21,2/1/2024,81,111,0,0
22,2/1/2024,81,111,0,1
23,6/14/2023,88,97,0,1
24,7/22/2023,88,110,0,1
25,8/7/2023,83,98,0,0
26,11/4/2023,89,97,0,1
27,10/6/2023,75,100,0,0
28,12/4/2023,79,96,0,0
29,8/14/2023,75,104,0,0
